タイトル,価格,在庫状況,詳細URL
The Secret Garden,Â£15.08,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
The Metamorphosis,Â£28.58,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
The Pilgrim's Progress,Â£50.26,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),Â£14.82,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),Â£28.07,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
Gone with the Wind,Â£32.49,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
Candide,Â£58.63,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/candide_316/index.html
Animal Farm,Â£57.22,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/animal-farm_313/index.html
Wuthering Heights,Â£17.73,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/wuthering-heights_307/index.html
The Picture of Dorian Gray,Â£29.70,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Â£26.78,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Beowulf,Â£38.35,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/beowulf_126/index.html
And Then There Were None,Â£35.01,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
The Story of Hong Gildong,Â£43.19,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
The Little Prince,Â£45.42,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/the-little-prince_72/index.html
Sense and Sensibility,Â£37.46,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
Of Mice and Men,Â£47.11,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
Emma,Â£32.93,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/emma_17/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â£55.53,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>",https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
